Parameter,Run 510,Parameter,Run 309,Parameter,Run 635,Parameter,Run 639,Parameter,Run 618,Parameter,Run 632,Parameter,Run 621,Parameter,Run 627,Parameter,Run 624,Parameter,Run 629,Parameter,Run 512
m,-0.005067975347825227,B,0.2207862828403929,m,-0.004135777776835601,m,-0.008480513954960375,m,-0.003733997562364117,m,-0.010533316714981911,m,-0.005943871005112326,m,-0.005888836629259583,m,-0.009061244685423844,m,-0.009805249792557048,m,-0.010039690521069136
B,0.36313818465893444,m,-0.0005927683838376755,B,0.5253298453546349,B,0.7607588839963704,B,0.42720269401118616,B,0.8773975507849655,B,0.645105685944798,B,0.6896205316910932,B,0.8627169883507873,B,0.895710428352753,B,0.8274845148145662
a0,0.6101939720500175,a0,0.9999999999999999,a0,0.4301810588749073,a0,0.25798808622275665,a0,0.42243272977444485,a0,0.1710975475623023,a0,0.223344563155517,a0,0.1580776075318348,a0,0.08471816170641168,a0,0.04453339731475977,a0,0.04032490461891623
x0,9.222337403043506,x0,18.040335144018442,x0,16.15384645538777,x0,16.482367086145373,x0,16.09619351618674,x0,16.647734189353,x0,16.386563230629626,x0,16.381856756557553,x0,16.815424721627352,x0,17.116237808223623,x0,16.118370256410618
sigma0,5.148810671452686,w0,4.171491239748193,sigma0,4.428664102736523,sigma0,3.7724640982530064,sigma0,5.0080986759846695,sigma0,3.1577601380972604,sigma0,4.445930212797826,sigma0,4.068436950155777,sigma0,3.403644176266579,sigma0,2.680426755158082,sigma0,6.779713127244146
a1,0.04309769939532717,a1,0.41839793882685317,a1,0.343145239443696,a1,0.2725207369446848,a1,0.34228299932170436,a1,0.24402714305524195,a1,0.26455727736885826,a1,0.2488373911734225,a1,0.20728736607554316,a1,0.17971371783242285,a1,0.22906647667765634
x1,21.83234499883532,x1,14.630353728048469,x1,21.678642623364215,x1,21.90702178185306,x1,21.788272334483686,x1,22.02071542792603,x1,21.881912490267794,x1,22.00150249471508,x1,22.05877451357055,x1,22.253490594543045,x1,23.99999999937532
sigma1,3.1338440552251323,w1,1.0436156914583714,sigma1,4.21878683630398,sigma1,4.592983012193932,sigma1,4.976069744357019,sigma1,5.371196208401889,sigma1,5.87008437138481,sigma1,6.927078627936747,sigma1,6.740534943214983,sigma1,8.21160851014406,sigma1,13.970847353940478
a2,0.07032859700292993,a2,0.38907102675382577,a2,0.30901912042246793,a2,0.23891746741582515,a2,0.3319088929664402,a2,0.1953228137358092,a2,0.25750104984469085,a2,0.25328915792565687,a2,0.20664611102804753,a2,0.19556029638314051,a2,0.22500434578292178
x2,32.91869209660695,x2,21.82999595024674,x2,28.493460761860447,x2,28.543293367188475,x2,28.00000000000004,x2,28.889863703941323,x2,28.000000000000004,x2,28.041731353894686,x2,28.30642932237675,x2,28.91249696536558,x2,33.999999999169475
sigma2,8.204458262712972,w2,0.6313864770515668,sigma2,14.999999999999998,sigma2,13.963305902266706,sigma2,14.999999999999998,sigma2,12.078251567694311,sigma2,14.287351075233458,sigma2,14.999999999999998,sigma2,12.618887389174965,sigma2,14.999999999999996,sigma2,29.999999994771265
a3,0.10974722894722706,a3,0.45262437518323456,a3,0.05727319431330076,a3,0.11867810758576164,a3,0.13966257530574103,a3,0.1293737780381375,a3,0.04010695886838945,,,,,,,,
x3,67.2569777148392,x3,28.517907924011872,x3,58.77322017591817,x3,67.99999999999744,x3,55.000000000008605,x3,67.99999999999999,x3,55.00000000126866,,,,,,,,
sigma3,25.69695455193101,w3,1.07947766650907,sigma3,31.741241380689594,sigma3,32.01516454660981,sigma3,54.999999999999964,sigma3,26.761947102939015,sigma3,54.99999999999999,,,,,,,,
,,a4,0.19012601481860916,,,,,,,,,,,,,,,,,,
,,x4,33.836839905648624,,,,,,,,,,,,,,,,,,
,,sigma4,5.4376328616602265,,,,,,,,,,,,,,,,,,
,,a5,0.05682864069753686,,,,,,,,,,,,,,,,,,
,,x5,44.00000000000001,,,,,,,,,,,,,,,,,,
,,sigma5,9.999999999999998,,,,,,,,,,,,,,,,,,
,,a6,0.044742937162590424,,,,,,,,,,,,,,,,,,
,,x6,57.021754583911175,,,,,,,,,,,,,,,,,,
,,sigma6,8.761542236848443,,,,,,,,,,,,,,,,,,
